,C,gamma,kernel,class_weight,accuracy
0,0.01,auto,rbf,balanced,0.9450389105058365
1,0.01,auto,rbf,,0.9508754863813229
2,0.01,auto,poly,balanced,0.9265564202334631
3,0.01,auto,poly,,0.9236381322957199
4,0.01,auto,sigmoid,balanced,0.8146887159533074
5,0.01,auto,sigmoid,,0.8370622568093385
6,0.01,scale,rbf,balanced,0.9333657587548638
7,0.01,scale,rbf,,0.9455252918287937
8,0.01,scale,poly,balanced,0.9236381322957199
9,0.01,scale,poly,,0.9095330739299611
10,0.01,scale,sigmoid,balanced,0.8414396887159533
11,0.01,scale,sigmoid,,0.8633268482490273
12,1.0,auto,rbf,balanced,0.9542801556420234
13,1.0,auto,rbf,,0.9620622568093385
14,1.0,auto,poly,balanced,0.9270428015564203
15,1.0,auto,poly,,0.9255836575875487
16,1.0,auto,sigmoid,balanced,0.7684824902723736
17,1.0,auto,sigmoid,,0.8107976653696498
18,1.0,scale,rbf,balanced,0.9537937743190662
19,1.0,scale,rbf,,0.9562256809338522
20,1.0,scale,poly,balanced,0.9270428015564203
21,1.0,scale,poly,,0.9255836575875487
22,1.0,scale,sigmoid,balanced,0.808852140077821
23,1.0,scale,sigmoid,,0.8341439688715954
